21,Bùi Thị Mai Anh,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính - trường Đại học Pierre và Marie Curie - 2016), Thạc sỹ (Khoa học Máy tính - trường Đại học La Rochelle - France - 2011), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2007)","Công nghệ phần mềm, Công nghệ thông tin áp dụng trong sinh học, Xử lý ngôn ngữ tự nhiên, Mô phỏng các hệ thống phức tạp","Xây dựng các ngôn ngữ mô phỏng cho các hệ thống phức tạp, Kiến trúc phát triển phần mềm hướng mô hình, Tóm tắt văn bản, Phân tích sắc thái văn bản, Mô phỏng các hệ thống phức tạp",4,0
22,Cao Tuấn Dũng,Khoa học Máy tính,"Tiến sỹ (Tin học, Đại học Nice-Sophia Antipolis - 2006), Thạc sỹ (Viện Tin học Pháp ngữ - 2002), Kỹ sư (Đại học Bách khoa Hà nội - 1999)","Web ngữ nghĩa, Web và dịch vụ Web, Biểu diễn và quản lý tri thức, Tính toán di động – cảm ngữ cảnh, Dữ liệu liên kết mở","Công nghệ ngữ nghĩa cho các hệ thống thông tin chuyên biệt, Hệ hỏi đáp tự động và ChatBot, Hệ thống du lịch thông minh",5,0
23,Huỳnh Quyết Thắng,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính và Thông tin - trường Đại học Kỹ thuật Varna - Bulgaria - 1996), Kỹ sư và Thạc sỹ (Công nghệ Điện tử và Thông tin - trường Đại học Kỹ thuật Varna - Bulgaria - 1990)","Kỹ thuật phần mềm, Tối ưu đa mục tiêu, Phân tích và xử lý dữ liệu lớn","Chất lượng phần mềm, Kiểm thử phần mềm, Các phương pháp và kỹ thuật xây dựng phần mềm, Quản trị dự án, Tối ưu đa mục tiêu, Xử lý và phân tích dữ liệu lớn",9,1
24,Huỳnh Thị Thanh Bình,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1999), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1997)","Trí tuệ nhân tạo, Thuật toán và tối ưu","Trí tuệ nhân tạo, Thuật toán và tối ưu, Trí tuệ tính toán, Tiến hóa đa nhiệm, Tính toán tiến hóa giải các bài toán tối ưu trong hệ thống phân phối hàng hóa, hệ phân tán, bài toán bao phủ trong mạng cảm biến không dây, bài toán tối đa hóa thời gian sống của mạng cảm biến không dây, bài toán tối ưu lịch sạc trong mạng cảm biến có thể sạc không dây, lập lịch cho thiết bị bay không người lái.",10,6
25,Lê Thanh Hương,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Middlesex - Vương quốc Anh - 2004), Thạc sỹ (Khoa học Máy tính - Đại học Tự do Brussels - 2001), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 1997)","Trí tuệ nhân tạo, Xử lý ngôn ngữ tự nhiên và các ứng dụng","Trí tuệ nhân tạo, Xử lý ngôn ngữ tự nhiên: phân tích cú pháp, phân tích cấu trúc diễn ngôn, hỏi đáp, sinh văn bản, tóm tắt văn bản, dịch máy, trích rút thông tin, trợ lý ảo, phân tích quan điểm, Khai phá dữ liệu văn bản, khai phá dữ liệu web, Học máy, học sâu và các ứng dụng",10,1
26,Lê Tấn Hùng,Khoa học Máy tính,"Thạc sỹ (Đại học Châu Á - Thái Lan - 1998), Cử nhân (Đại học Tổng hợp Sofia - 1994)","Đồ họa máy tính, đa phương tiện, Thương mại điện tử, Hệ thống thông tin/ERP/MRP, Đổi mới và khởi nghiệp","Đồ họa máy tính, lập trình đa phương tiện, Chăm sóc sức khỏe, Tele-y học, Sức khỏe điện tử, Lập trình di động, Marketing di động, Thương mại điện tử, Quản lý giáo dục, Hệ thống thông tin/ERP/MRP, Đổi mới và khởi nghiệp",3,0
27,Lê Đức Trung,Công nghệ Phần mềm,"Thạc sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1993), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1991)","Kỹ nghệ phần mềm, Quản lý dự án Công nghệ thông tin và truyền thông, Kỹ năng mềm và Làm việc nhóm","Ứng dụng trí tuệ nhân tạo trong thực tiễn (AI real-world applications, Digital transformation, Industry 4.0), Học máy (Deep learning, Neural Networks, Self organizing Maps), Tính toán mềm (Fuzzy logics, Kansei evaluation, rule-based and Knowledge-based system), Big data (Big data Analysis, Knowledge graphs in social networks, Deep learning in big data), Hệ thống thông minh lai, hệ ngữ cảnh thông minh (Applied fuzzy systems, picture fuzzy set, rule-based system), Phân tích thiết kế, tích hợp hệ thống (AI in FPGA/ Chips, AI with embedded system, complex system design), Các ứng dụng thực tiễn Web-based, Điện thoại thông minh (Smart phone, Health, social networks, robots, industry, education)",0,0
28,Michel Toulouse,Hệ thống Thông tin,"Tiến sỹ (Kỹ thuật máy tính - Trường Bách Khoa - Đại học Montréal - Canada, 1996), Thạc sỹ (Khoa học máy tính - Đại học Montréal - Canada - 1989), Cử nhân (Hệ thống thông tin quản lý - ĐH Québec tại Montréal - Canada - 1986)","Thuật toán, tối ưu hóa rời rạc, Ứng dụng phân tán","Các thuật toán song song và phân tán, Đồng thuận phân tán, Nền tảng Blockchain, Thuật toán tìm kiếm",10,2
29,Muriel Visani,Khoa học Máy tính,"Tiến sỹ Khoa học (Habilitation - Khoa học Máy tính) - Đại học La Rochelle - Pháp - 2014, Tiến sỹ (Khoa học Máy tính) - Viện Khoa học Ứng dụng Quốc gia (INSA) Lyon - Pháp - 2005, Thạc sỹ Nghiên cứu (Xác suất & Thống kê) - Đại học Toulouse III – INSA Toulouse - Pháp - 2002, Thạc sỹ Kỹ thuật (Toán ứng dụng) - INSA Toulouse - Pháp - 2002","Thị giác máy tính, Học máy (bao gồm cả học sâu), Nhận dạng mẫu","Phân tích hình ảnh, Lập chỉ mục và truy xuất Hình ảnh dựa trên nội dung, Tương tác người dùng, Nhận dạng hình ảnh, Phân tích đa phương thức/liên phương thức (ví dụ: hình ảnh + văn bản), Phân loại có giám sát/bán giám sát, Phân nhóm không giám sát/bán giám sát/tương tác.",10,3
30,Nguyễn Bình Minh,Hệ thống Thông tin,"Tiến sỹ (Tin học Ứng dụng - Trường Đại học Kĩ thuật Slovak - Slovakia - 2013), Kỹ sư (Máy tính hỗ trợ thiết kế - Trường Đại học Tổng hợp kĩ thuật Tambov - Liên Bang Nga - 2008)","Các hệ thống phân tán, Phân tích dữ liệu","Điện toán đám mây, Vạn vật kết nối Internet, Công nghệ chuỗi khối, Các kĩ thuật mở rộng tài nguyên dựa trên phân tích dữ liệu, Các giải thuật bắt nguồn từ tự nhiên, Mạng nơ-ron, Tích hợp và xử lý dữ liệu",10,0
